ID,Edad,Ingresos,Email,Visitas,Compra
90,41.5,50209.845,prueba@test.com,4.0,False
92,21.0,51313.27,info@data.com,5.0,True
93,30.0,31618.47,info@data.com,9.0,False
96,32.0,26828.43,ejemplo@correo.com,3.0,False
97,33.0,67820.45,ejemplo@correo.com,3.0,True
98,38.0,54754.14,info@data.com,7.0,True
99,53.0,63812.88,prueba@test.com,4.0,True
100,41.0,54780.91,ejemplo@correo.com,5.0,False
101,41.5,50209.845,ejemplo@correo.com,4.0,False
102,31.0,40234.62,info@data.com,7.0,True
103,39.0,34486.36,prueba@test.com,9.0,False
105,67.0,37948.86,prueba@test.com,4.0,True
106,41.5,50209.845,info@data.com,4.0,True
107,59.0,43167.01,prueba@test.com,5.0,False
108,53.0,50262.19,info@data.com,4.0,True
109,18.0,44690.09,info@data.com,2.0,False
110,49.0,29375.73,ejemplo@correo.com,6.0,False
111,23.0,40345.72,info@data.com,7.0,False
112,48.0,16648.95,prueba@test.com,5.0,True
113,18.0,59378.47,prueba@test.com,3.0,True
114,67.0,25969.14,ejemplo@correo.com,3.0,True
115,68.0,33434.25,info@data.com,6.0,False
116,54.0,50782.48,prueba@test.com,5.0,False
118,66.0,73145.22,ejemplo@correo.com,1.0,False
119,47.0,30607.15,info@data.com,1.0,True
121,52.0,49410.76,prueba@test.com,4.0,False
124,66.0,47426.81,ejemplo@correo.com,4.0,True
127,27.0,82448.54,info@data.com,4.0,False
129,41.5,50209.845,info@data.com,4.0,False
130,68.0,46409.31,prueba@test.com,1.0,True
131,61.0,66494.89,ejemplo@correo.com,7.0,False
134,52.0,25745.66,info@data.com,2.0,False
135,53.0,49635.11,info@data.com,7.0,False
136,48.0,38929.54,ejemplo@correo.com,5.0,True
138,36.0,48527.74,prueba@test.com,8.0,False
139,64.0,63652.68,ejemplo@correo.com,6.0,True
141,38.0,61794.92,prueba@test.com,5.0,False
143,68.0,35833.31,prueba@test.com,4.0,True
145,32.0,49744.69,info@data.com,8.0,False
146,59.0,55687.28,prueba@test.com,3.0,True
147,19.0,83889.63,info@data.com,2.0,False
149,28.0,35660.82,prueba@test.com,4.0,True
150,41.5,50209.845,info@data.com,4.0,False
